City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,nanortalik,60.1432,-45.2371,-0.78,88,42,1.89,GL,1667835502
139,lubango,-14.9172,13.4925,24.92,38,75,2.06,AO,1667835502
140,talas,38.6908,35.5538,10.37,66,75,5.14,TR,1667835503
141,avera,33.194,-82.5271,24.75,62,0,2.57,US,1667835503
142,daru,-9.0763,143.2092,27.05,83,91,4.65,PG,1667835503
143,vanimo,-2.6741,141.3028,26.01,88,100,2.03,PG,1667835504
144,olmos,-5.9847,-79.7453,21.61,45,3,2.77,PE,1667835504
145,tadine,-21.55,167.8833,24.02,87,99,3.77,NC,1667835505
146,mountain home,43.133,-115.6912,1.71,93,100,5.66,US,1667835505
147,aklavik,68.2191,-135.0107,-20.91,91,69,2.71,CA,1667835506
148,rincon,32.296,-81.2354,24.98,69,0,3.09,US,1667835507
149,kunming,25.0389,102.7183,11.96,71,0,4.0,CN,1667835507
150,fairbanks,64.8378,-147.7164,-10.6,79,75,0.0,US,1667835508
151,tecoman,18.9167,-103.8833,27.64,73,39,0.55,MX,1667835508
152,elat,29.5581,34.9482,27.91,34,75,6.17,IL,1667835508
153,port hedland,-20.3167,118.5667,23.03,73,8,7.72,AU,1667835509
154,saskylakh,71.9167,114.0833,-30.88,100,66,2.06,RU,1667835509
155,rio gallegos,-51.6226,-69.2181,22.03,30,0,6.69,AR,1667835510
156,kavieng,-2.5744,150.7967,28.06,75,100,2.89,PG,1667835510
157,vardo,70.3705,31.1107,-0.01,93,75,2.57,NO,1667835510
158,gwanda,-20.9333,29.0,21.77,77,93,5.15,ZW,1667835511
159,cabo san lucas,22.8909,-109.9124,24.73,71,20,4.12,MX,1667835377
160,carnarvon,-24.8667,113.6333,18.77,64,11,6.02,AU,1667835511
161,leeston,-43.7667,172.3,9.39,84,9,1.39,NZ,1667835512
162,aberdeen,57.1437,-2.0981,12.27,94,75,4.63,GB,1667835512
163,cherskiy,68.75,161.3,-21.75,99,66,1.42,RU,1667835512
164,zoravan,40.3533,44.5232,7.98,64,100,3.46,AM,1667835513
165,mbini,1.574,9.6134,27.23,79,100,2.49,GQ,1667835513
166,san cristobal,7.7669,-72.225,24.1,55,45,2.86,VE,1667835514
167,bonavista,48.6499,-53.1147,13.02,87,98,8.87,CA,1667835514
168,moosomin,50.1333,-101.6677,-12.53,89,77,2.8,CA,1667835514
169,puri,19.8,85.85,25.29,63,45,2.4,IN,1667835515
170,oga,46.4631,10.347,8.38,79,72,0.85,IT,1667835515
171,kieta,-6.2167,155.6333,25.58,82,100,1.56,PG,1667835516
172,qaqortoq,60.7167,-46.0333,-0.83,90,92,1.6,GL,1667835516
173,mahanoro,-19.9,48.8,23.83,77,49,4.83,MG,1667835516
174,saint-pierre,-21.3393,55.4781,24.82,73,75,4.12,RE,1667835456
175,paita,-5.0892,-81.1144,21.04,73,4,4.82,PE,1667835517
176,ilulissat,69.2167,-51.1,-19.27,90,54,2.33,GL,1667835517
177,nicoya,10.1483,-85.452,26.69,83,96,0.82,CR,1667835518
178,saint-philippe,-21.3585,55.7679,24.77,77,54,4.62,RE,1667835518
179,flin flon,54.7682,-101.865,-14.09,78,75,4.63,CA,1667835519
180,samarai,-10.6167,150.6667,27.17,79,30,1.7,PG,1667835519
181,basna,21.2833,82.8167,20.89,62,8,0.94,IN,1667835520
